Dominio, Puertos
kiaebs.org,"443,80"
www.zeroweb.kr,80
mta-sts.mail.tbkids.com,25
webjun.net,"80,53"
kids79.com,21
mail.dstour.com,"80,873,25,443"
mail.xn--z69aql272cpb.com,"80,21,443,873"
ns.xn--z69aql272cpb.com,21
mail.verticalmining.com,"25,21,110,465,993,80,143,995,443"
mail.kukdaeawning.com,"25,53,80"
mail.builweb.com,"22,110,25,873,53,587,143"
mail.gncohi.com,"53,25,80,443,453,456,452,455"
mail.pturn.net,143
pturn.net,"21,22,80,25,143,110,443"
mail.080-667-8899.com,25
xn--hz2b45b87hmsebsb36avzce80c.com,"80,873,25"
gangsan21.com,"110,80"
mail.pluschambergroup.com,"80,873"
m2.mkt-hyundai.com.br,25
tigermini.com,80
haenam.net,25
admin.acelalashop.com,"21,80,443"
hostmaster.xn--bb0bq47e.club,"80,53,873"
sdchem.com,80
admin.xn--js0bl3ekxk.club,"80,53"
mail.xn--js0bl3ekxk.club,"80,53,873"
wahotel.itrocks.kr,25
lucielus.itrocks.kr,25
47-44-60-130.static.unas.mo.charter.com,"80,443"
068-186-180-059.biz.spectrum.com,"80,427,443,902"
suk42.suidc.com,25
sus82.suidc.com,25
miraeenergy.net,80
www.nvoim.com,80
trizchunga.com,"22,80"
www.younghepark.com,"22,21,80"
younghepark.com,"21,22,80"
hk.hakgo.net,"22,21"
www.nscompany.co.kr,80
mail.shinchanghotmelt.co.kr,"21,25,80,143,110"
chinese21.co.kr,"21,80"
oliy.co.kr,25
gwduru.mobitron.co.kr,"53,80"
hanwhadc.mobitron.co.kr,"53,80,135"
hsbugyang.mobitron.co.kr,"80,135,53"
datawave.co.kr,80
mail.buttumakgj.co.kr,"21,22,80"
postmaster.alumall.co.kr,"25,80,873"
www.metree.co.kr,80
ns2.donow.co.kr,"53,110,80,25,22,143,21"
ns1.ncomservice.co.kr,53
mail.firenara.co.kr,25
ns1.3dexpo.co.kr,"21,80"
board.nong21.co.kr,"21,80"
mail.daezertour.com,21
www.paranvpn.com,"21,22"
ns3.xn--ob0bwih14a32s.com,80
postmaster.xn--ob0bwih14a32s.com,21
mail.namji.net,25
postmaster.xn--220bq3dn1huxcd07aowi.com,21
healinghill.net,"22,110,25,21,80,143"
chowonfood.fordining.kr,"53,80,873"
tibawj.fordining.kr,25
pang.co.in,"80,443"
admin.goldbiga.net,"53,80"
mail.mizbeauty.net,"25,80"
ns.xn--2e0boof3jmpmky4a.com,21
mail.xn--li5b7o7sr7era.com,"21,873"
mail.bottegavinno.com,21
danggojipsa.alldaycafe.kr,"25,53"
www.smartaq.com,"21,80"
dongkug.com,"80,25"
k.dongkug.com,21
postmaster.jaewonmachine.com,21
admin.xn--9t4b21x.club,53
xn--9t4b21x.club,"53,80"
mail.080-888-2000.com,25
estatemetro.com,110
www.jangseungpo.nonghyupi.com,21
dangjinch.nonghyupi.com,"21,80,143"
gangchonbbq.com,80
ns1.reborn2016.com,80
reborn2016.com,21
ns2.ofsystem.net,53
forbeauty.kr,"25,53,80,873"
gowooneye.forbeauty.kr,"25,53,873"
www.haenam.com,110
mail.hiscom21.com,"25,22"
mail.cybereasonkorea.com,25
mail.riche-bio.com,21
mail.swt-hydraulics.com,25
mail.dgdhele.com,53
fyforu.com,"21,80,873,443"
www.ccokko.com,"22,21,80,143"
www.imt-digital.com,21
burritolee.com,21
xn--hq1by4fd6duxiba905eitz8ta.com,80
ns2.xn--299aa262fnkolvco62a.com,21
ns.xn--299aa262fnkolvco62a.com,80
mintnamoo.net,21
hsadfrance.com,53
cbbumo.org,"80,21"
ns3.booknart.com,25
mail.osungdnc.com,"80,25"
www.suhosin.net,143
www.airdrop.camp,"80,443"
woorimedi.allthemedi.com,"80,25"
mail.dbsoftbank.com,"22,143,25,53,110"
elalala.com,"21,80"
mail.xn--vk1br5hc13a.club,53
www.drrefer.net,80
mail.gumibeauty.net,80
1000rian.com,"25,53"
1800-2663.com,25
allofthat.kr,"25,53,80"
ns3.stwon.com,21
mail.xn--9g3b2j471c.club,873
xn--9g3b2j471c.club,80
xn--jk1b48otpjina0d71d.com,25
xn--2q1bm7fg5ad6d53w48aw67bceeeub.com,"21,80"
root.xn--2e0boof3jiqff6hfn2axyk.com,21
qa.themove.ca,443
philjatour.com,80
xn--hq1bm8jm9l.club,53
ns1.xn--2i4bo5hmd133d.com,21
ns3.xn--2i4bo5hmd133d.com,80
dict.aik.or.kr,"80,443"
conf.ksnve.or.kr,80
ns1.gumisc.or.kr,21
acumoxa.net,"143,25"
taeweongr.com,21
ns1.net-farm.com,80
modu-tech.com,"80,25"
xn--h49ap70b0nb53hpxwefb.com,"80,25"
mail.bodyscool.com,"25,53"
mail.8295bbq.com,21
postmaster.8295bbq.com,21
smartorder.xyz,25
kmcric.com,"21,80"
ocknh.com,"21,110"
glovisala.com,25
gts.glovisala.com,25
mail.xn--v69am0v72q.net,"53,873"
mail.xn--3f5b01l.club,80
m.jisikmall.com,80
nsa-1213.jisikmall.com,80
btf.fortour.kr,"25,80"
neoez.net,80
via.neoez.net,80
ns1.xn--oy2b19v8lg2nb74du7a2f.com,21
mail.010-4062-2424.com,25
root.dongwooclean.com,25
ns.hmbiokorea.com,"21,80,873"
1826550a.cst.lightpath.net,22
theseilent.com,"25,80,873"
ns2.xn--hy1b45cpzf1yau7k0nd.com,21
ulsanjc.org,21
bontemuseum.alltheway.kr,25
changjoforum.alltheway.kr,"25,80"
shinhansolution.alltheway.kr,"80,53,25"
sjdsangjo.alltheway.kr,"25,80"
jbrentcar.alltheway.kr,"25,80"
jejucoaching.alltheway.kr,"25,80"
snfco.alltheway.kr,25
mail.floxkorea.com,25
kumchonnh.com,"21,110"
member.sejongtelecom.net,80
admin.xn--o39a071c.club,"80,53"
admin.xn--299ayy.club,"80,53"
dongais.foredu.kr,21
mail.playpang.com,21
mail.cellstin.com,"25,53"
hyundai.jo,"22,21,53,443,80"
hyundai.pro,"80,443"
mail.hyundai.mu,"22,26,25,53,21,110,80,587,465,143"
webdisk.hyundai.mu,"21,26,25,22,110,993,995,143,53,80"
whm.hyundai.mu,"21,22,80,53,143,110,443,993,995"
hyundai.mu,"22,53,21,110,80,143,443"
autodiscover.hyundai.mu,"80,110,53,21,22,143,993,995"
cpcalendars.hyundai.mu,"21,22,110,53,80,143,993"
cpcontacts.hyundai.mu,"53,80,110,143,993,443,22,21"
hyundai.al,21
cpcontacts.hyundai.al,25
autoconfig.hyundai.com.bo,"21,26,25"
autodiscover.hyundai.com.bo,143
hyundai.com.bo,"21,22,25,26,53"
cpcalendars.hyundai.cl,"25,21,53"
cpcalendars.hyundai.co.ke,"21,25"
mobis.hyundai.co.rs,"21,25,53,80,143"
www.hyundai.co.rs,"110,21,80,25,22"
www.mobis.hyundai.co.rs,25
cpanel.hyundai.co.id,"25,21"
hyundai.sc,"22,21,26,25"
autoconfig.hyundai.sc,"21,53,22"
cpanel.hyundai.sc,"21,22"
cpcalendars.hyundai.sc,26
hyundai.shop,80
cpcontacts.hyundai.ge,"21,22,25"
www.old.hyundai.ge,"53,143,110,80"
api.hyundai.ge,"22,443"
autodiscover.hyundai.ge,"21,22,25,80,110,143,993,995,465,587,443"
ftp.hyundai.ge,"22,21,25,143,80"
hyundai.space,"80,22,21,443"
mobis.hyundai.rs,"25,80,21"
cpcontacts.hyundai.rs,25
mail.hyundai.ba,"53,995,21"
cpanel.hyundai.hn,"22,25"
whm.hyundai.hn,22
hyundai.repair,80
www.hyundai.center,80
hyundai.ci,"21,80,22,25,110,993,995"
mta-sts.mail.hyundai.ci,22
www.cdn.hyundai.media,"21,25,26"
hyundai.lk,"22,25,26"
mail.hyundai.lk,"21,53,25,22"
hyundai.te.ua,"21,25"
edem-auto.hyundai.com.ua,"21,22,80"
frunze.hyundai.com.ua,"22,21,80"
finance.hyundai.com.ua,22
hroad.hyundai.com.ua,"21,22"
www.autoplan.hyundai.com.ua,"21,22,80"
www.odessa.hyundai.com.ua,"80,21,22"
121.hyundai.com.ua,"80,443"
aelita.hyundai.com.ua,"21,22,80"
od-bogdanauto.hyundai.com.ua,"80,21,22"
podillya.hyundai.com.ua,"21,22,80,443"
www.autoplaneta-ks.hyundai.com.ua,"21,22,80,443"
www.ck-bogdanauto.hyundai.com.ua,"21,22,80"
www.frunze.hyundai.com.ua,"22,21,80,443"
www.podillya.hyundai.com.ua,"22,21,80,443"
hyundai.com.ua,"21,22,80,443"
auto.hyundai.com.ua,"80,22,21"
bogdan-auto-lutsk.hyundai.com.ua,"80,21,22,443"
sm-bogdanauto.hyundai.com.ua,"22,21,443"
www.kharkov.hyundai.com.ua,"21,22,80,443"
www.kh-bogdanauto.hyundai.com.ua,"21,22,80,443"
www.vn.hyundai.com.ua,"80,22,21,443"
bogdanauto-if.hyundai.com.ua,"80,21,22,443"
lviv.hyundai.com.ua,"80,22,443,21"
rv-bogdanauto.hyundai.com.ua,"22,21,80,443"
www.cn-bogdanauto.hyundai.com.ua,"80,21,22,443"
zet.hyundai.com.ua,"21,22,80,443"
zp.hyundai.com.ua,"21,22,80,443"
bogdanauto.hyundai.com.ua,"21,22,80,443"
dp-bogdanauto.hyundai.com.ua,"22,21,80,443"
kr-bogdanauto.hyundai.com.ua,"21,22,80,443"
www.bazis-odessa.hyundai.com.ua,"22,21,80,443"
www.finance.hyundai.com.ua,"80,22,21,443"
www.kr-bogdanauto.hyundai.com.ua,"80,21,22,443"
www.poltava.hyundai.com.ua,"21,22,80,443"
www.zaporizhzhia.hyundai.com.ua,"21,80,22,443"
if.hyundai.com.ua,"21,22,80,443"
olimpmotor.hyundai.com.ua,"21,22,80,443"
truck.hyundai.com.ua,"22,21,80,443"
www.edem-auto.hyundai.com.ua,"22,21,80,443"
www.aelita.hyundai.com.ua,"21,22,443"
www.auto.hyundai.com.ua,"21,22,80,443"
www.autobereg.hyundai.com.ua,"80,21,22,443"
www.if.hyundai.com.ua,"22,21,80,443"
cn-bogdanauto.hyundai.com.ua,"21,80,22,443"
crmweb.hyundai.com.ua,"443,25,995,465,980,993,143,587"
kharkov.hyundai.com.ua,"80,21,22,443"
sale.hyundai.com.ua,"53,81,80,22,443"
www.od-bogdanauto.hyundai.com.ua,"80,443,22,21"
www.zhytomyr.hyundai.com.ua,"80,22,21,443"
cv-bogdanauto.hyundai.com.ua,"21,22,80,443"
new.hyundai.com.ua,"80,443"
zaporizhzhia.hyundai.com.ua,443
zhytomyr.hyundai.com.ua,"21,22,80,443"
vn.hyundai.com.ua,"80,443,22"
www.lviv.hyundai.com.ua,"21,22,80,443"
www.olimpmotor.hyundai.com.ua,"22,21,80,443"
www.sklad.hyundai.com.ua,"80,443"
autotrading-odessa.hyundai.com.ua,"22,21,80,443"
kh-bogdanauto.hyundai.com.ua,"21,22,80,443"
nikolaev.hyundai.com.ua,"80,443,21,22"
stats.hyundai.com.ua,"80,443"
www.dp-bogdanauto.hyundai.com.ua,"22,21,80,443"
www.truck.hyundai.com.ua,"22,21,80"
alexvostok.hyundai.com.ua,"22,80,21"
autobereg.hyundai.com.ua,"22,80,21"
bazis-odessa.hyundai.com.ua,"22,80"
genesis.hyundai.com.ua,"22,21,80"
www.bogdanauto-if.hyundai.com.ua,"21,22,80"
www.dar-auto.hyundai.com.ua,"22,21,80"
hyundai.com.sg,80
electric-motion.hyundai.com.sg,"22,80"
hyundai.tv,80
mail.hyundai.wien,80
hyundai.news,80
motorsportshop.hyundai.re,21
webmail.hyundai.go.na,143
hyundai.motorcycles,"80,443"
www.hyundai.tj,"21,22,25,143,80,587,110,465,53,443,995,993"
hcx.hyundai.co.uk,"443,80"
hyundai.co.uk,"443,80"
contracthire.hyundai.co.uk,80
fileshare.hyundai.co.uk,80
www.hyundai.moscow,"21,80,22"
stats.hyundai.tn,"22,80"
accent.hyundai.by,"80,443"
constructionequipment.hyundai.eu,21
cpanel.hyundai.id,"80,443"
enews.hyundai.fr,80
www.hyundai.fr,"21,22"
www.partagerhyundai.hyundai.fr,"80,21,22,25,143,110"
fanzones.euro2016.hyundai.fr,"6,15,7,28"
veloster.hyundai.fr,89
www.santafe.hyundai.fr,25
ftp.hyundai.hr,"22,25,587,80,110,465,143,443"
citasoromotors.hyundai.com.ec,"80,443"
citasasiacar.hyundai.com.ec,"80,443"
autodiscover.hyundai.com.ec,80
hyunmotor.hyundai.com.ec,"80,443"
administrador.hyundai.com.ec,"443,80"
citasmegavehiculos.hyundai.com.ec,80
mail.hyundai.reviews,"53,80"
unold.hyundai.de,80
www.weiterer.hyundai.de,80
matchday-dashboard.hyundai.de,"80,22,443"
www.schmidt-hamburg.hyundai.de,"80,443"
tcr-tickets-dashboard.hyundai.de,"22,80,443"
www.weber-diel.hyundai.de,80
quinque.hyundai.de,80
www.gottron.hyundai.de,80
hmp.hyundai.de,"80,443"
merz.hyundai.de,80
sinemus.hyundai.de,"80,443"
www.talke.hyundai.de,80
mr-auto.hyundai.de,80
subscription.hyundai.no,"443,80"
sync.hyundai.cm,80
www.hyundai.cm,"80,443"
www.tienda.hyundai.com.uy,80
elcamino.hyundai.com.uy,80
cpanel.hyundai.com.uy,80
tienda.hyundai.com.uy,"80,443"
hyundai.ma,"21,22,110,25,53,80"
vatefaireplaisir.hyundai.ma,80
alcardis.hyundai.ch,"21,80,53,143,993,106"
www.hyundai.tm,"21,443,80"
cpanel.hyundai.tm,"80,21"
ftp.hyundai.tm,"80,21,443"
webmail.hyundai.tm,"80,21"
whm.hyundai.tm,"21,80,443"
www.server.hyundai.tm,"80,21"
ns2.hyundai.tm,"80,21,443"
server.hyundai.tm,"80,443"
webdisk.hyundai.tm,"21,80,443"
hyundai.tm,"21,80,443"
idmcar.hyundai.sk,25
autonova.hyundai.sk,"25,21"
autodiscover.hyundai.sk,"25,80,21,443"
3hauto.hyundai.sk,"21,25,80"
autocentrumnitra.hyundai.sk,"21,25,80,443"
rades.hyundai.sk,"21,25,80"
shop.hyundai.sk,"21,80,443"
tga.hyundai.sk,"21,25,80"
nilssons-bilcenter.hyundai.se,80
fribrocks.hyundai.se,80
privacidade.hyundai.pt,80
hyundai.com.ar,"21,25,80"
c2b.hyundai.co.za,80
corporateapi.hyundai.co.za,80
www.hyundai.co.za,22
hyundai.hu,"80,443"
mail.hyundai.hu,80
linartechauto.hyundai.hu,"80,443"
apm.hyundai.hu,80
asa.hyundai.pl,80
radom.hyundai.pl,80
darkat.hyundai.pl,"80,443"
www.i40.hyundai.pl,80
www.loteria.hyundai.pl,"22,25"
www.autogt.hyundai.pl,80
slaskauto-nysa.hyundai.pl,80
pim-qa.hyundai.pl,80
www.keller.hyundai.pl,"80,443"
darimex-biala.hyundai.pl,80
support.hyundai.pl,80
mta-sts.loteria.hyundai.pl,"21,22,25,80"
www.koreamotors.hyundai.pl,"80,443"
szpot.hyundai.pl,80
karmot.hyundai.pl,80
hyundai.pl,"80,443"
www.ulsanmotor.hyundai.pl,80
www.hyundai.com.cn,80
audit.hyundai.com.cn,"21,80"
hyundai.web.id,"26,53,110,21,80,111,25,143,22"
astana.hyundai.kz,"25,21,22,143,53,110,80,443,465,995,993"
citystore.hyundai.kz,"25,21,22,80,995,993"
mail.hyundai.kz,25
mail.dealer.hyundai.kz,25
karaganda.hyundai.kz,"25,22,53,21,80,143,110"
autodiscover.dealer.hyundai.kz,25
drivingexp-cdn.hyundai.co.kr,80
blog.hyundai.co.kr,80
media.hyundai.co.nz,80
hyundai.co.nz,"80,443"
ftp.hyundai.co.nz,"22,21"
i40.hyundai.co.nz,80
dedolarini.hyundai.it,80
fassina.hyundai.it,80
dibamotors.hyundai.it,80
facar.hyundai.it,80
autoplanetbari.hyundai.it,80
chiaritomotors.hyundai.it,80
lifeconfigurator.hyundai.it,"80,443"
mycar.hyundai.it,"80,443"
superauto.hyundai.it,"80,443"
syraka.hyundai.it,"80,443"
usato.hyundai.it,80
toymotor.hyundai.it,80
autoplaya.hyundai.it,80
bigdeal.hyundai.lu,"81,80"
www.wordpress.dev.m.hyundai.lu,"80,81"
ss.154.hyundai.lu,"81,80"
www.zune.hyundai.lu,"81,443,80"
shop.contact.hyundai.lu,80
wp.www.configurator.hyundai.lu,"80,81"
217.146.190.234.hyundai.lu,"81,80,443"
www.227.15.154.hyundai.lu,"81,80,443"
www.m.hyundai.lu,"81,80,443"
wp.contact.hyundai.lu,"81,80"
www.ww.hyundai.lu,"80,81"
phpmyadmin.m.hyundai.lu,"80,81,443"
www.wp.www.configurator.hyundai.lu,81
magento.nwww.hyundai.lu,"81,80"
www.autohandel-patrick.hyundai.lu,"81,80,443"
sunshop.135.143.hyundai.lu,"80,81,443"
wp.worldwide.hyundai.lu,"81,80"
12.88.161.hyundai.lu,"80,81"
ss.mx.hyundai.lu,"81,80"
www.nwww.hyundai.lu,"80,81,443"
wp.m.hyundai.lu,"443,81"
mail.hyundai.ru,110
www.m.hyundai.ru,25
santafe.hyundai.ru,"143,587"
strategyclub.hyundai.ru,25
utilization.hyundai.ru,21
esa2.hyundai.ru,53
hyundai_ru_smtp.hyundai.ru,21
www.singsolaris.hyundai.ru,"21,25,22,53,110,80,143,443,465,995"
api.mobility.hyundai.ru,80
cdn.hyundai.ru,"80,22"
devapi.mobility.hyundai.ru,"21,80"
i40.hyundai.ru,25
start-calculator.hyundai.ru,21
esa1.hyundai.ru,"53,21,25,22,80,110,143,443,465,993,995,587"
roadshow.hyundai.ru,"21,22,25,143,53,80"
id.hyundai.ru,80
mob.hyundai.ru,"80,465,21,22,25,110,53,143"
smtp-01.mobility.hyundai.ru,80
autodiscover.hyundai.ru,110
sf.dev.mobility.hyundai.ru,"21,53,80"
platform.hyundai.ru,443
solaris.hyundai.ru,"25,22,21"
zlin.hyundai.cz,"22,25,80"
autoksv.hyundai.cz,25
autobehounek.hyundai.cz,"22,25"
autocorson.hyundai.cz,22
automost.hyundai.cz,22
rvautoprofi.hyundai.cz,22
vistacar.hyundai.cz,"25,22,80,443"
kyjov.hyundai.cz,25
www.autokpplus.hyundai.cz,22
www.uh.hyundai.cz,"25,80"
aspekta.hyundai.cz,"22,80,25"
autoprodejsramek.hyundai.cz,22
acrozkos.hyundai.cz,"22,80,25"
inet.hyundai.cz,22
ftp.hyundai.cz,21
www.autopytelavyskov.hyundai.cz,"22,25,80"
hb.hyundai.cz,"22,25,80"
pemotors.hyundai.cz,"22,25,443"
www.autonejdl.hyundai.cz,"80,25,22"
hbpardubice.hyundai.cz,"25,80,22,443"
horimexcars.hyundai.cz,22
tcar.hyundai.cz,"25,22"
autokoutek.hyundai.cz,"25,80,22"
autodiscover.hyundai.cz,80
exccars.hyundai.cz,22
mxw.moorkensbrasschaat.hyundai.be,"80,81"
www.sunshop.autodis.hyundai.be,81
wordpress.www.kesselmotors.hyundai.be,"81,80"
mail12.mercierbruno.hyundai.be,443
www.mor5ors.hyundai.be,"81,443,80"
ags.hyundai.be,"80,81"
vanbelle.hyundai.be,"80,454"
mail.hyundai.be,"80,81"
www.cn.hyundai.hyundai.hyundai.be,"80,81,443"
2018.motors.hyundai.be,"80,81"
wordpress.www.nawroa.hyundai.be,"80,81"
luniverselle-awans.hyundai.be,80
devisch-oostkamp.hyundai.be,"80,443"
www.pimerard.hyundai.be,"80,81"
codisco.hyundai.be,"80,81"
ags.oostkamp.hyundai.be,80
www.ns2.kesselomotors.hyundai.be,"81,80"
www.ns2.mercierbruno.hyundai.be,"81,80"
ags.brugge.hyundai.be,"443,80,81"
blog.njawrot.hyundai.be,"80,81"
mailbox.damscar.hyundai.be,"80,443,81"
mx01.hcebel.hyundai.be,"81,80"
sunshop.unknown.hyundai.be,"80,81"
ss.autodiscover.internationalcar.hyundai.be,"80,81"
www.pkerard.hyundai.be,80
blog.motorsz.hyundai.be,"81,80,443"
desmedt.hyundai.be,"80,81"
blog.nawroa.hyundai.be,"81,80,443"
hyundai.hyundai.hyundai.be,"81,80"
www.naw.ot.hyundai.be,"80,81"
beurms.hyundai.be,"80,81"
cordisco.hyundai.be,"80,81"
website.blue.hyundai.be,81
blog.www.hceusa.hyundai.be,"80,81"
site.blue.hyundai.be,"80,81"
www.awrot.hyundai.be,"80,81"
mobile.moorkenskontich.hyundai.be,81
moorkens.hyundai.be,"80,81,443"
www.nawroc.hyundai.be,"80,81"
blog.blue.hyundai.be,81
news.motors.hyundai.be,"80,81"
antoreti.hyundai.be,"80,81"
smtp.hcebel.hyundai.be,"80,81,443"
blog.zu2ne.hyundai.be,"80,81"
dedola.hyundai.be,"81,80,443"
wp.1932woluwe.hyundai.be,"81,80"
64.12.88.161.hyundai.be,"81,443,80"
barbieux.hyundai.be,"80,81"
moorkens-mechelen.hyundai.be,80
mail9.damscar.hyundai.be,"80,81"
shop.woluwe.hyundai.be,"81,80"
sunshop.ags.oostkamp.hyundai.be,"80,81"
lauwers.hyundai.be,"81,80,443"
www.jmberto.hyundai.be,"81,80"
nawrot.hyundai.be,"80,81"
blog.damscar.hyundai.be,"80,443,81"
dinitto.hyundai.be,"81,80"
mx4.bwmotorsnivelles.hyundai.be,"80,81,443"
outmail.damscar.hyundai.be,"443,80"
217.146.190.234.hyundai.be,"80,81"
www.blog.www.hceusa.hyundai.be,"80,81"
autodiscover.internationalcar.wavre.hyundai.be,"80,81"
www.piterard.hyundai.be,"80,81,443"
east.bwmotorsnivelles.hyundai.be,"80,81"
test.blue.hyundai.be,"81,80"
mail12.hcebel.hyundai.be,"81,80,443"
blog.nawfrot.hyundai.be,"81,80,443"
sudmotor-huy.hyundai.be,"80,443,454"
www.moorkens-gent.hyundai.be,"80,81"
www.wordpress.www.kesselmotors.hyundai.be,"80,81,443"
bw-nivelles.hyundai.be,80
piera.d.hyundai.be,"80,81,443"
autocentermeeus.hyundai.be,"80,81"
confweb.hyundai.com,443
click.gs.hyundai.com,80
motorsport.hyundai.com,"22,25"
m.autolink.hyundai.com,80
joinlync.hyundai.com,80
vars.hyundai.com,80
m.young3.hyundai.com,80
veloster.hyundai.com,80
origin2-ccc.hyundai.com,80
m.asps.hyundai.com,80
hmsis.hyundai.com,"80,443"
